FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2024-02-17,0.08,-0.48,-0.16,1
2024-02-18,0.12,-0.18,-0.62,1
2024-02-19,0.16,-0.37,-0.27,0
2024-02-20,0.13,-0.42,0.73,1
2024-02-21,0.11,-0.42,0.45,1
2024-02-22,0.17,-0.49,-0.14,1
2024-02-23,-0.12,-0.57,-0.11,1
2024-02-24,0.21,-0.36,-0.4,1
2024-02-25,-0.19,-0.3,-0.42,1
2024-02-26,-0.32,-0.33,-0.21,1
2024-02-27,0.41,-0.47,-0.16,1
2024-02-28,-0.1,-0.28,-0.09,1
2024-02-29,-0.32,-0.56,-0.09,1
2024-03-01,0.2,-0.02,-0.99,1
2024-03-02,0.04,-0.2,-0.11,1
2024-03-03,0.11,-0.49,0.26,1
2024-03-04,-0.1,-0.56,-0.14,1
2024-03-05,-0.15,-0.61,-0.61,0
2024-03-14,-1.07,0.03,-2.93,1
2024-05-03,-0.22,-0.41,-0.23,1
2024-05-04,0.07,-0.28,-0.15,1
2024-05-05,0.06,-0.13,-0.4,1
2024-05-06,0.07,-0.32,-0.08,1
2024-05-07,0.25,-0.18,-0.39,1
2024-05-08,0.11,-0.23,-0.56,1
2024-05-09,0.05,-0.2,-0.28,1
2024-05-10,-0.07,-0.14,-0.6,1
2024-05-11,-0.07,-0.26,0.13,1
2024-05-12,0.07,-0.14,-0.07,1
2024-05-13,-0.03,-0.08,-0.45,1
2024-05-14,-0.22,-0.25,-0.54,1
2024-05-15,0.15,-0.27,-0.13,1
2024-05-16,0.16,-0.2,-0.11,1
2024-05-17,0.01,-0.14,-0.39,1
2024-05-18,0.06,-0.16,0.05,1
2024-05-19,0.08,-0.11,-0.53,1
2024-05-20,0.13,-0.31,-0.22,1
2024-05-21,0.24,-0.07,-0.44,1
2024-05-22,0.2,-0.17,-0.49,1
2024-05-23,0.05,-0.18,-0.3,1
2024-05-24,0.17,-0.18,-0.72,1
2024-05-25,0.11,-0.1,-0.22,1
2024-05-26,0.29,-0.31,-0.81,1
2024-05-27,0.28,-0.23,-0.42,1
2024-05-28,0.23,-0.2,-0.17,1
2024-05-29,0.26,-0.08,-0.51,1
2024-05-30,0.28,-0.1,-0.54,1
2024-05-31,0.32,-0.03,-0.53,1
2024-06-01,0.21,-0.06,-0.53,1
2024-06-02,0.14,-0.06,-0.75,1
2024-06-03,0.1,-0.1,-0.86,1
2024-06-04,0.32,-0.15,-0.72,1
2024-06-05,0.25,-0.02,-0.97,1
2024-06-06,0.0,-0.17,-0.54,1
2024-06-07,0.19,-0.02,-0.98,1
2024-06-08,0.21,-0.08,-0.79,1
2024-06-09,0.0,-0.23,-0.64,1
2024-06-10,0.27,-0.17,-0.65,1
2024-06-11,0.16,-0.21,-0.92,1
2024-06-12,0.22,-0.1,-0.8,1
2024-06-13,0.02,-0.1,-0.38,1
2024-06-14,-0.16,-0.35,-0.84,1
2024-06-15,-0.03,-0.34,-1.09,1
2024-06-16,-0.23,-0.39,-0.62,1
2024-06-17,-0.16,-0.44,-0.26,1
2024-06-18,0.06,-0.17,-0.77,1
2024-06-19,-0.21,-0.29,-0.83,1
2024-06-20,-0.25,-0.37,-0.77,1
2024-06-21,-0.25,-0.42,-1.06,1
2024-06-22,0.19,-0.33,-0.65,1
2024-06-23,0.14,-0.4,-0.96,1
2024-06-24,-0.02,-0.32,-0.72,1
2024-06-25,0.12,-0.26,-0.7,1
2024-06-26,-0.12,-0.37,-0.63,1
