Optimizador,accuracy,precision,recall,f1_score
ADAM,0.9130434782608695,0.924812030075188,0.984,0.9534883720930233
SGD,0.9057971014492754,0.9057971014492754,1.0,0.9505703422053232
RMSPROP,0.9202898550724637,0.9191176470588235,1.0,0.9578544061302682
