FECHA_CORTE,UBIGEO,ANIO,DEPARTAMENTO,PROVINCIA,FECHA_UTC,ESTE,NORTE,VERTICAL,VOLCAN
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231122,0.06,-0.41,0.07,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231123,0.06,-0.22,0.27,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231124,0.01,-0.72,0.4,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231125,0.07,-0.43,-0.65,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231126,0.13,-0.45,0.18,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231127,-0.01,-0.5,0.01,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231128,-0.02,-0.39,0.02,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231129,0.14,-0.48,0.05,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231130,0.04,-0.56,0.82,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231201,0.26,-0.28,0.34,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231202,0.19,-0.34,0.13,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231203,0.06,-0.49,0.1,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231204,-0.06,-0.46,-0.02,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231205,0.04,-0.63,0.07,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231206,0.06,-0.43,-0.05,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231207,0.05,-0.67,0.12,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231208,0.18,-0.59,-0.13,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231209,0.06,-0.41,-0.03,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231210,0.15,-0.44,0.28,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231211,0.05,-0.5,0.06,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231212,0.03,-0.41,-0.05,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231213,-0.04,-0.18,-0.06,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231214,0.11,-0.56,0.6,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231215,0.15,-0.5,-0.07,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231216,0.07,-0.34,-0.32,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231217,0.02,-0.43,0.69,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231218,0.02,-0.45,-0.28,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231219,0.15,-0.63,-0.47,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231220,0.06,-0.35,0.08,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231221,0.1,-0.44,0.07,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231222,0.16,-0.38,0.69,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231223,0.2,-0.72,0.02,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231224,0.12,-0.57,0.5,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231225,0.12,-0.58,0.42,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231226,0.21,-0.5,0.35,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231227,0.01,-0.29,-0.89,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231228,0.16,-0.28,-0.14,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231229,-0.04,-0.41,0.25,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231230,0.01,-0.38,0.49,UBINAS
20250424,1802,2023,MOQUEGUA,GENERAL SANCHEZ CERRO,20231231,0.02,-0.15,0.02,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240101,0.15,-0.4,0.23,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240102,0.15,-0.43,0.02,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240103,0.17,-0.27,-0.26,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240104,0.04,-0.18,-0.93,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240105,-0.03,-0.35,0.17,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240106,0.26,-0.51,0.41,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240107,0.08,-0.29,-0.04,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240108,-0.01,-0.32,0.29,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240109,-0.02,-0.39,0.14,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240110,0.08,-0.26,-0.65,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240111,-0.06,-0.51,1.09,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240112,0.27,-0.58,0.22,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240113,0.22,-0.47,0.04,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240114,0.05,-0.3,0.2,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240115,0.26,-0.51,0.87,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240116,0.07,-0.48,-1.03,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240117,0.36,-0.35,-0.01,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240118,0.13,-0.4,-1.07,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240119,-0.19,-0.23,-1.16,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240120,0.41,-0.46,-0.14,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240121,0.21,-0.31,-0.23,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240122,-0.15,-0.27,-0.12,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240123,-0.13,-0.23,0.49,UBINAS
