FECHA_UTC,ALTURA,VOLCAN
2020-05-06,300,UBINAS
2020-05-07,200,UBINAS
2020-05-08,100,UBINAS
2020-05-09,200,UBINAS
2020-05-10,100,UBINAS
2020-05-11,300,UBINAS
2020-05-12,200,UBINAS
2020-05-15,200,UBINAS
2020-05-16,200,UBINAS
2020-05-17,100,UBINAS
2020-05-18,500,UBINAS
2020-05-19,500,UBINAS
2020-05-20,100,UBINAS
2020-05-21,500,UBINAS
2020-05-22,100,UBINAS
2020-05-23,200,UBINAS
2020-05-25,400,UBINAS
2020-05-26,200,UBINAS
2020-05-28,300,UBINAS
2020-05-29,400,UBINAS
2020-05-30,100,UBINAS
2020-06-01,400,UBINAS
2020-06-02,300,UBINAS
2020-06-04,500,UBINAS
2020-06-05,500,UBINAS
2020-06-06,345,UBINAS
2020-06-07,150,UBINAS
2020-06-08,300,UBINAS
2020-06-09,300,UBINAS
2020-06-11,300,UBINAS
2020-06-12,500,UBINAS
2020-06-13,450,UBINAS
2020-06-14,300,UBINAS
2020-06-15,300,UBINAS
2020-06-16,300,UBINAS
2020-06-17,500,UBINAS
2020-06-18,200,UBINAS
2020-06-19,200,UBINAS
2020-06-20,500,UBINAS
2020-06-21,300,UBINAS
2020-06-22,1000,UBINAS
2020-06-24,200,UBINAS
2020-06-25,300,UBINAS
2020-06-26,100,UBINAS
2020-06-27,200,UBINAS
2020-06-28,200,UBINAS
2020-06-29,100,UBINAS
2020-06-30,100,UBINAS
2020-07-01,300,UBINAS
2020-07-02,100,UBINAS
2020-07-03,200,UBINAS
2020-07-04,200,UBINAS
2020-07-05,200,UBINAS
2020-07-06,450,UBINAS
2020-07-08,300,UBINAS
2020-07-11,300,UBINAS
2020-07-13,200,UBINAS
2020-07-14,300,UBINAS
2020-07-15,300,UBINAS
2020-07-16,400,UBINAS
2020-07-17,300,UBINAS
2020-07-20,500,UBINAS
2020-07-21,500,UBINAS
2020-07-22,700,UBINAS
2020-07-23,330,UBINAS
2020-07-24,400,UBINAS
2020-07-25,350,UBINAS
2020-07-26,400,UBINAS
2020-07-27,300,UBINAS
2020-07-28,200,UBINAS
2020-07-29,500,UBINAS
2020-07-30,500,UBINAS
2020-07-31,400,UBINAS
2020-08-01,300,UBINAS
2020-08-02,100,UBINAS
2020-08-03,300,UBINAS
2020-08-04,200,UBINAS
2020-08-05,500,UBINAS
2020-08-06,200,UBINAS
2020-08-07,200,UBINAS
2020-08-08,100,UBINAS
2020-08-09,300,UBINAS
2020-08-10,700,UBINAS
2020-08-11,300,UBINAS
2020-08-12,200,UBINAS
2020-08-13,200,UBINAS
2020-08-14,500,UBINAS
2020-08-15,200,UBINAS
2020-08-16,200,UBINAS
2020-08-17,200,UBINAS
2020-08-18,200,UBINAS
2020-08-19,100,UBINAS
2020-08-20,100,UBINAS
2020-08-22,200,UBINAS
2020-08-23,300,UBINAS
2020-08-24,400,UBINAS
2020-08-25,600,UBINAS
2020-08-27,100,UBINAS
2020-08-28,300,UBINAS
2020-08-29,300,UBINAS
2020-08-30,100,UBINAS
2020-09-01,500,UBINAS
2020-09-02,200,UBINAS
2020-09-03,200,UBINAS
2020-09-05,200,UBINAS
2020-09-06,100,UBINAS
